object_category,pair_ix,round_ix,target_object_indices,model_response
dogs,45,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{
  ""object_#1"": ""the dog with the black nose and mouth and the rest of its body is goldish and like the legs are extended out"",
  ""object_#2"": ""the dog with the black stomach and back and legs it's goldish legs and then tail is long"",
  ""object_#3"": ""German shepherd standing on the grass, goldish around the mouth part, really black"",
  ""object_#4"": ""dog sitting on the grass and it's looking back and it has a leash"",
  ""object_#5"": ""dog that's sitting down and it's really furry and his hair is hanging out and the tail is sticking up, it's black, sitting on the grass"",
  ""object_#6"": ""poodle with the circle leash"",
  ""object_#7"": ""golden retriever that's laying on the ground"",
  ""object_#8"": ""tiny fur dog, one leg is extended out and it's looking back"",
  ""object_#9"": ""white dog, the wolf"",
  ""object_#10"": ""hot dog dog""
}"
dogs,45,3,"[6, 5, 9, 7, 1, 10, 4, 8, 2, 3]","{
  ""object_#1"": ""the poodle with the round leash"",
  ""object_#2"": ""the one with the fur hanging out of its mouth and sitting on the grass with the tail sticking up"",
  ""object_#3"": ""the white dog--the wolf"",
  ""object_#4"": ""the one that's laying down"",
  ""object_#5"": ""the one that's black on the mouth and like two legs extending out and it's goldish"",
  ""object_#6"": ""the hot dog dog"",
  ""object_#7"": ""the one that's sitting and like it's looking back on the grass and the tail is on the grass and it's long"",
  ""object_#8"": ""the small furry dog"",
  ""object_#9"": ""the dog that's standing up with the long tail, blackish…stomach in back"",
  ""object_#10"": ""the German shepherd""
}"
dogs,45,4,"[5, 9, 1, 7, 3, 6, 10, 4, 8, 2]","{
  ""object_#1"": ""dog with the hair hanging out of the mouth and the tail sticking up"",
  ""object_#2"": ""white dog"",
  ""object_#3"": ""dog with the two legs extending out, goldish with the black nose and mouth part"",
  ""object_#4"": ""golden retriever that's laying down"",
  ""object_#5"": ""German shepherd"",
  ""object_#6"": ""poodle"",
  ""object_#7"": ""hotdog"",
  ""object_#8"": ""dog sitting down"",
  ""object_#9"": ""dog with one leg extended out"",
  ""object_#10"": ""the one that's standing up""
}"
baskets,20,1,"[9, 3, 7, 5, 10, 1, 4, 6, 2, 8]","{
  ""object_#1"": ""a very long basket, rectangular in shape, light tan, weaved, handle coming over the top"",
  ""object_#2"": ""huge handle, very small basket, red, brown and green weaving, right in the middle, can see right through the handle"",
  ""object_#3"": ""large basket, another handle, same color, weave is very wide, a lot of spaces in it, it's black in the bottom, you can see right through it, a large handle also, but it's not really that large in proportion to the basket, it's very circular"",
  ""object_#4"": ""very tight weave, without a handle, very large bowl, bottom looks like a solid piece of bamboo"",
  ""object_#5"": ""small basket, wide weave, red weave through the whole thing"",
  ""object_#6"": ""tan bowl, solid beading, green in it, on the other side"",
  ""object_#7"": ""lid on top of it, two handles on the sides, lid on top of it and the handles come through the lid, tan with a little knob on the lid itself"",
  ""object_#8"": ""triangular"",
  ""object_#9"": ""squarish handle, round lid, looks similar to old style picnic baskets"",
  ""object_#10"": ""similar handle to the previous one, rough looking round lid, itself is more squared, almost a little rectangular, tapers towards the bottom""
}"
baskets,20,2,"[6, 9, 1, 7, 8, 10, 4, 3, 2, 5]","{
  ""object_#1"": ""triangular shaped basket"",
  ""object_#2"": ""rectangular large very long"",
  ""object_#3"": ""bowl with the green striping"",
  ""object_#4"": ""very round with the very open weave"",
  ""object_#5"": ""tapered basket that looks almost like an old rough handbag with a thin handle up at the top and a very rough looking lid on it"",
  ""object_#6"": ""red ribbon"",
  ""object_#7"": ""the one with the top, with the two handles sticking out"",
  ""object_#8"": ""the one with the very large handle"",
  ""object_#9"": ""very small basket"",
  ""object_#10"": ""very large""
}"
baskets,20,3,"[10, 8, 2, 4, 6, 5, 7, 3, 9, 1]","{
  ""object_#1"": ""the basket with the red ribbon running through it"",
  ""object_#2"": ""the tapered basket with the rough top on it"",
  ""object_#3"": ""the round one, with the square handle"",
  ""object_#4"": ""the one with two handles"",
  ""object_#5"": ""our triangular basket"",
  ""object_#6"": ""the very large bowl"",
  ""object_#7"": ""the rounded one, with the very open weave and the black in the bottom"",
  ""object_#8"": ""the small, with the large handle"",
  ""object_#9"": ""the really long, rectangular one with the handle in the middle"",
  ""object_#10"": ""the green background""
}"
baskets,20,4,"[8, 2, 6, 4, 1, 10, 5, 7, 3, 9]","{
  ""object_#1"": ""the tapered with the rough lid"",
  ""object_#2"": ""the round lid and the square handle"",
  ""object_#3"": ""our triangular"",
  ""object_#4"": ""the two handle with the large lid"",
  ""object_#5"": ""the green background"",
  ""object_#6"": ""the red ribbon"",
  ""object_#7"": ""the very large bowl with the tight weave"",
  ""object_#8"": ""the very open weave, with the black bottom"",
  ""object_#9"": ""the small basket"",
  ""object_#10"": ""Rectangle""
}"
baskets,21,1,"[9, 3, 7, 5, 10, 1, 4, 6, 2, 8]","{
  ""object_#1"": ""a long basket, It looks like a rectangle, It's probably the longest one in the picture, It's square in shape, Rectangular in shape"",
  ""object_#2"": ""the second one has a very big handle on it, and a very small basket in a pyramidal shape, a really big, circular looking handle, Big circular handle, It's probably got the longest base from the basket to the handle"",
  ""object_#3"": ""criss-crossing weaves, this one has probably the one with the most open space in between each, it's got a circular handle"",
  ""object_#4"": ""one of the biggest baskets in the picture, stitched closely, the crossing is really close, oval shaped, round shaped, No handles, Very circular"",
  ""object_#5"": ""Five is got a red ribbon around it"",
  ""object_#6"": ""Six has a green lining in the back"",
  ""object_#7"": ""Seven has a handle, a cover on it, with two handles on the side"",
  ""object_#8"": ""a heart shape purse looking thing"",
  ""object_#9"": ""Number nine is a round bucket with a cover and a squarish handle on it"",
  ""object_#10"": ""It's long, vertical, No two handles on the side, One handle and it's long, It's got a cover and one handle, really deep""
}"
baskets,21,2,"[6, 9, 1, 7, 8, 10, 4, 3, 2, 5]","{
  ""object_#1"": ""heart shaped"",
  ""object_#2"": ""That long one with the handle"",
  ""object_#3"": ""the one with the green lining in the back"",
  ""object_#4"": ""that one with the cross-stitching that's really wide cross-stitched, round handle"",
  ""object_#5"": ""really long, with a cover and a handle, only one handle"",
  ""object_#6"": ""the one with the red ribbon"",
  ""object_#7"": ""the one with the handle, two handles on each side, and a top, really golden looking"",
  ""object_#8"": ""red lining in it, really big circular handle"",
  ""object_#9"": ""smaller, rounder, cover, one handle, square handle"",
  ""object_#10"": ""open basket, very tightly stitched, no cover, no handles""
}"
baskets,21,3,"[10, 8, 2, 4, 6, 5, 7, 3, 9, 1]","{
  ""object_#1"": ""red ribbon"",
  ""object_#2"": ""open basket, no handle"",
  ""object_#3"": ""shorter version of number two, with the square handle"",
  ""object_#4"": ""golden basket with a top on it, and two handles on the sides"",
  ""object_#5"": ""heart shaped purse looking thing"",
  ""object_#6"": ""open one that is stitched really tightly together, no handles, no cover"",
  ""object_#7"": ""stitched with the wide spaces in between"",
  ""object_#8"": ""really big handle, and a red stitching along it too"",
  ""object_#9"": ""rectangular, open with one handle on it"",
  ""object_#10"": ""the green lining on the back""
}"
baskets,21,4,"[8, 2, 6, 4, 1, 10, 5, 7, 3, 9]","{
  ""object_#1"": ""the really long basket, deep basket, with the cover and the handle on it"",
  ""object_#2"": ""the shorter version with the square handle, with the top"",
  ""object_#3"": ""the heart shape"",
  ""object_#4"": ""the top and the two handles on the side, very golden looking"",
  ""object_#5"": ""the one with the green lining"",
  ""object_#6"": ""the red ribbon, no top, no handle"",
  ""object_#7"": ""the really big one, without the top and the close stitching"",
  ""object_#8"": ""the one with the wide crosses, it's got a handle, a lot of space between the crosses"",
  ""object_#9"": ""the round one, with the really long handle, big handle on it, with the red weaving"",
  ""object_#10"": ""the really long basket that's open, rectangular, with one handle in the middle""
}"
baskets,22,1,"[9, 3, 7, 5, 10, 1, 4, 6, 2, 8]","{
  ""object_#1"": ""rectangular and oval shaped, light brown, long"",
  ""object_#2"": ""reddish things in it, green, small basket with a handle, red strips through it, loop is very big"",
  ""object_#3"": ""black and light brown, very small, no bottom visible, black at the bottom, little loops, has a handle, no cover"",
  ""object_#4"": ""big, circulish, interior visible, bottom not visible, dark brown, very deep"",
  ""object_#5"": ""red ribbon, small basket, no handles"",
  ""object_#6"": ""triangular, green, triangles inside"",
  ""object_#7"": ""circulish, large, very small loops, two loops at the end, cover, small thing to pick it up"",
  ""object_#8"": ""triangular, red and green, stylish"",
  ""object_#9"": ""circulish, handle, rectangular handle, cover, short, circular"",
  ""object_#10"": ""rectangular, pointed in towards the end, cover, handle, very long""
}"
baskets,22,2,"[6, 9, 1, 7, 8, 10, 4, 3, 2, 5]","{
  ""object_#1"": ""the triangular one, with the red and green stripes, coming in like a half diamond"",
  ""object_#2"": ""the rectangular one, with the handle in the middle, you could see the bottom"",
  ""object_#3"": ""the green triangles one, with the green through the back, designs on the back"",
  ""object_#4"": ""the one with the black bottom and a black ribbon going through it, towards the bottom it looks striped, it has one handle, it's round"",
  ""object_#5"": ""the last one, the rectangular one, the longer one, with the cover on it"",
  ""object_#6"": ""the one with the red ribbon going through, no handle"",
  ""object_#7"": ""the kettle, the pickup thing, with two small handles on the side"",
  ""object_#8"": ""not the triangular red ribbon one, a different one, with red and green in it"",
  ""object_#9"": ""the round one with the handle and the cover"",
  ""object_#10"": ""the round, very deep one""
}"
baskets,22,3,"[10, 8, 2, 4, 6, 5, 7, 3, 9, 1]","{
  ""object_#1"": ""the one with the red ribbon"",
  ""object_#2"": ""the rectangular one with the handle and the cover on it"",
  ""object_#3"": ""the short one with the cover"",
  ""object_#4"": ""the one with the two little handles on the side, and the kettle thingy on the top"",
  ""object_#5"": ""the triangular one, with the red and the green and the diamond things going into it"",
  ""object_#6"": ""the deep one"",
  ""object_#7"": ""the black ribbon"",
  ""object_#8"": ""the red one, with the red ribbons, but it's not the triangular one"",
  ""object_#9"": ""the rectangular one with the handle in the middle"",
  ""object_#10"": ""the green triangles""
}"
baskets,22,4,"[8, 2, 6, 4, 1, 10, 5, 7, 3, 9]","{
  ""object_#1"": ""the tall one with the cover on it"",
  ""object_#2"": ""the short one with the cover on it, and the handle"",
  ""object_#3"": ""the triangular one with the red rib--red and green"",
  ""object_#4"": ""the one with the two handles, with the thing on top"",
  ""object_#5"": ""the green tar--triangles"",
  ""object_#6"": ""no handle, just the red ribbon"",
  ""object_#7"": ""the very deep one"",
  ""object_#8"": ""the black ribbon in the bottom"",
  ""object_#9"": ""the red one with the handle"",
  ""object_#10"": ""the handle in the middle""
}"
baskets,23,1,"[9, 3, 7, 5, 10, 1, 4, 6, 2, 8]","{
  ""object_#1"": ""oblong, rectangular basket"",
  ""object_#2"": ""the smallest out of all of them with the handle, looks like it's cut in half, somehow, interwoven in it"",
  ""object_#3"": ""it's got a bigger weave than all the other baskets, looks like a circle"",
  ""object_#4"": ""the tightest woven one, it has no handle"",
  ""object_#5"": ""red interwoven with it, no handles"",
  ""object_#6"": ""it has no handle, and it has a zig-zag pattern in the space"",
  ""object_#7"": ""two handles, and a top covering it"",
  ""object_#8"": ""triangular"",
  ""object_#9"": ""the handle looks like half of a square"",
  ""object_#10"": ""the bottom looks like half of a hexagon""
}"
baskets,23,2,"[6, 9, 1, 7, 8, 10, 4, 3, 2, 5]","{
  ""object_#1"": ""the triangular basket"",
  ""object_#2"": ""looks like a laundry basket"",
  ""object_#3"": ""the zig-zag pattern with the green in the background"",
  ""object_#4"": ""the one with the huge spaces in the middle, looks like a circle"",
  ""object_#5"": ""with the hexagon bottom"",
  ""object_#6"": ""the red ribbon laced through it"",
  ""object_#7"": ""looks like a bowl, with two handles on the side"",
  ""object_#8"": ""long handle, red interwoven in it"",
  ""object_#9"": ""squarish handle, with a cover"",
  ""object_#10"": ""really tight weave, looks like the beehive, has no top""
}"
baskets,23,3,"[10, 8, 2, 4, 6, 5, 7, 3, 9, 1]","{
  ""object_#1"": ""that basket--it has that red strip interwoven in it"",
  ""object_#2"": ""the bottom is a hexagon"",
  ""object_#3"": ""square handle with a cover"",
  ""object_#4"": ""it's got a cover"",
  ""object_#5"": ""the triangular one"",
  ""object_#6"": ""the beehive one"",
  ""object_#7"": ""the one with the gaps in it"",
  ""object_#8"": ""oval handle, red interwoven into it"",
  ""object_#9"": ""laundry basket"",
  ""object_#10"": ""zig-zag pattern, green in the background""
}"
baskets,23,4,"[8, 2, 6, 4, 1, 10, 5, 7, 3, 9]","{
  ""object_#1"": ""hexagon bottom, cover, handle"",
  ""object_#2"": ""side looks like Jenga blocks put together, looks flat, bottom looks like a soda can, cut a inch off a soda can, put a top on it and a handle, and you have that"",
  ""object_#3"": ""triangle one"",
  ""object_#4"": ""snake could come out of it"",
  ""object_#5"": ""zig-zag pattern and the green"",
  ""object_#6"": ""red ribbon interlaced in it, no handles"",
  ""object_#7"": ""beehive, no handles, no cover"",
  ""object_#8"": ""circular one with the big gaps in the weave"",
  ""object_#9"": ""more than one red ribbon weaved through it"",
  ""object_#10"": ""the laundry one""
}"
baskets,24,1,"[9, 3, 7, 5, 10, 1, 4, 6, 2, 8]","{
  ""object_#1"": ""longer than the rest, rectangular-ish, top circular, one handle, long basket"",
  ""object_#2"": ""not wide, small, really big handle, really high handle, woven together really tightly, green in the handle, not deep, no lid"",
  ""object_#3"": ""has a handle, spaces in between the weavings, they're wide, not tight, looks like there's a black thing inside"",
  ""object_#4"": ""no handle, very wide, can probably hold a lot of things, woven tightly, border around the top"",
  ""object_#5"": ""short basket with no handle, red ribbon tied through it, woven through the top"",
  ""object_#6"": ""looks kind of like Mexican in its design, top very tightly woven, center hole with zig-zag, green in the backing"",
  ""object_#7"": ""lid on it, really big, biggest one with a lid, knobby thing on the top"",
  ""object_#8"": ""looks like a purse, bottom shaped like a triangle, has a handle"",
  ""object_#9"": ""handle and a lid, flat lid, wider than the other with a flat lid, more round, shorter"",
  ""object_#10"": ""taller with the lid""
}"
baskets,24,2,"[6, 9, 1, 7, 8, 10, 4, 3, 2, 5]","{
  ""object_#1"": ""First basket looks like the purse?"",
  ""object_#2"": ""The second basket is the really wide one with no lid and a handle"",
  ""object_#3"": ""It looks beat up, Like it looks like someone took a bite out of the right side"",
  ""object_#4"": ""The fourth one has large holes in the top of it, it's kind of short, it's got a handle, You can stick your finger through one of the holes in the top, in the weavings?, it's darker in its color?"",
  ""object_#5"": ""The next one is short, no handle, no lid, and it's got a red ribbon through it"",
  ""object_#6"": ""The next one, it's really big, it's got a lid, two short handles on either side, and like a little knob on the top of it"",
  ""object_#7"": ""Alright, the next one has really high handle, short basket with red weaving through it"",
  ""object_#8"": ""the next one has kind of like a square handle on the top"",
  ""object_#9"": ""A round base, round lid, and really tightly woven"",
  ""object_#10"": ""The next one is wide, no handle, no lid""
}"
baskets,24,3,"[10, 8, 2, 4, 6, 5, 7, 3, 9, 1]","{
  ""object_#1"": ""the first basket is short, you could stick your finger through the holes in it, it's got a red ribbon"",
  ""object_#2"": ""second one is deep, has a lid, and a handle, which is almost square, the weavings are really tight on the bottom"",
  ""object_#3"": ""the third one, there's no holes in the weaving, it's got a lid and a handle, which is square"",
  ""object_#4"": ""the fourth one is the really big one with the small handles on the sides and the little knob on the top"",
  ""object_#5"": ""the fifth one is the purse"",
  ""object_#6"": ""the sixth one is wide, deep, no handle, no lid, tight weaving"",
  ""object_#7"": ""the next one has a medium sized handle, holes in the top where you could stick your finger through, it's a medium sized basket"",
  ""object_#8"": ""the next one has a really high handle for its short basket, it has red and green woven into it"",
  ""object_#9"": ""the next one is really wide, it looks like a baby bath, there's a bite mark in the side of it"",
  ""object_#10"": ""the salsa dish""
}"
baskets,24,4,"[8, 2, 6, 4, 1, 10, 5, 7, 3, 9]","{
  ""object_#1"": ""big, deep, square handle, lid, tight weaving"",
  ""object_#2"": ""round bottom, flat lid, square handle"",
  ""object_#3"": ""the purse"",
  ""object_#4"": ""big, deep, short handles, knob on the top"",
  ""object_#5"": ""looks like a salsa dish"",
  ""object_#6"": ""short, holes in the top, a red ribbon through the top of it"",
  ""object_#7"": ""big, wide, no handle, no lid, tight weaving"",
  ""object_#8"": ""the black base, holes in the top, medium size handle"",
  ""object_#9"": ""really high handle for a really small basket, with red"",
  ""object_#10"": ""looks like a bathtub with a bite out of the side of it""
}"
baskets,34,1,"[9, 3, 7, 5, 10, 1, 4, 6, 2, 8]","{
  ""object_#1"": ""has a handle, it's kinda like a rectangular shape, it's kinda long"",
  ""object_#2"": ""looks kinda colorful, Looks like it's a little bit of green, reddish, and like brown in it, it's not the one that's shaped like a diamond"",
  ""object_#3"": ""has a handle, the pattern looks like it's criss-crossin', like it's overlappin', it's like a circle, has no tops, there's no tops with it, it's circle, it's the only one that looks circle with the handle, it's the only one of the handles that has handles, that are circle with no top, it's more like a oval"",
  ""object_#4"": ""it's like a oval shape, it's kinda big, has no handle on it, Is it kinda brown?"",
  ""object_#5"": ""it's a red string around it"",
  ""object_#6"": ""it's like a goldish colored, has a green background in the back?, it doesn't have a cover"",
  ""object_#7"": ""it's the same color as the one previously, but it has a top on it"",
  ""object_#8"": ""looks like a purse, but it's a basket, it's shape of a diamond? Like a V shape?"",
  ""object_#9"": ""it's a basket, it has a handle to it, it's kinda like, made like a pot, it's short, it's kinda goldish, and it has a top to it"",
  ""object_#10"": ""the tall basket with the top on it, it's kinda like red and green--it has like a green in the background look like red, with the handle""
}"
baskets,34,2,"[6, 9, 1, 7, 8, 10, 4, 3, 2, 5]","{
  ""object_#1"": ""The first basket is shaped in a V and it has the handle, It's colorful"",
  ""object_#2"": ""The second one is rectangular, It's the longest basket with a handle"",
  ""object_#3"": ""The third one is the light goldish color with the green background, with no handle"",
  ""object_#4"": ""The fourth one is a basket with the handle, criss-cross"",
  ""object_#5"": ""The fifth one is the tall basket with the top to it"",
  ""object_#6"": ""The sixth one is the small basket with the red string around it"",
  ""object_#7"": ""The seventh one is the golden colored, like the other one, light color"",
  ""object_#8"": ""The eighth one is the colorful basket with the handle, small, it has green in the back like outline in the back"",
  ""object_#9"": ""The ninth one is the small basket with the top, It has a top and a handle, It has a handle to it, It's the short basket with the top, it has a handle on it"",
  ""object_#10"": ""The tenth one is the large basket, It's shaped like not as brown, It's just shaped in a oval""
}"
baskets,34,3,"[10, 8, 2, 4, 6, 5, 7, 3, 9, 1]","{
  ""object_#1"": ""basket, has the red string around it"",
  ""object_#2"": ""The second one is the tall basket with the top and the handle"",
  ""object_#3"": ""The third one is the short one with the top and the handle"",
  ""object_#4"": ""The fourth one has a top and is the goldish color With no handle"",
  ""object_#5"": ""The fifth one is the V shaped basket that kinda looks like it has red in there"",
  ""object_#6"": ""The sixth one is the basket It's just round, with no top to it"",
  ""object_#7"": ""The seventh one is the one that intertwines Like X's--forms X's and it has a handle to it"",
  ""object_#8"": ""The eighth one has the green background Little green in the back"",
  ""object_#9"": ""The ninth one is the rectangular shaped one With the handle to it"",
  ""object_#10"": ""And the tenth one has the little green background""
}"
baskets,34,4,"[8, 2, 6, 4, 1, 10, 5, 7, 3, 9]","{
  ""object_#1"": ""with the handle"",
  ""object_#2"": ""short basket with the handle, and a top"",
  ""object_#3"": ""V shaped basket with the handle"",
  ""object_#4"": ""that basket with the top, and the goldish color"",
  ""object_#5"": ""the other goldish color with the green background"",
  ""object_#6"": ""the basket with the red tape around it"",
  ""object_#7"": ""brownish basket by itself with no handle"",
  ""object_#8"": ""basket that forms X's with the handle"",
  ""object_#9"": ""the basket with the handle and it's green"",
  ""object_#10"": ""rectangular shaped basket""
}"
baskets,35,1,"[9, 3, 7, 5, 10, 1, 4, 6, 2, 8]","{
  ""object_#1"": ""basket, long, handle, light in the middle, woven, brownish, you could see the bottom which is not woven, just a piece of wood"",
  ""object_#2"": ""reddish color, large, round handle, handle's double the size of the basket itself, basket again is woven, colors red and white, woven into each other, green background behind"",
  ""object_#3"": ""the basket is bigger than the handle, but not by much, the handle is circular again, it's interwoven, brownish color, large spaces between each piece of wood, you could actually see the white background through it, the bottom is darker, it's round"",
  ""object_#4"": ""basket without a handle, large, brown color, darker brown, woven again, a piece of wood on the top, with things woven off of that, going downwards, big cup type thing"",
  ""object_#5"": ""basket without a handle, interwoven, spaces between them, red ribbon going through the top of it"",
  ""object_#6"": ""last basket without a handle, green line through it, golden type thing"",
  ""object_#7"": ""basket with a top, lid without a handle, two small handles, two handles on either side, the only basket with two covers on either side, the cover has something on top of it, left handle had some green inside of it"",
  ""object_#8"": ""basket looks like a woman's underwear"",
  ""object_#9"": ""flat top, round handle, round basket, handle is rectangle-shaped, goes all the way up to the top, goes over the whole thing"",
  ""object_#10"": ""it's round, plain round, simple, flat top, same type of basket, round handle, little bit taller, bigger handle, not as straight, crooked a little bit, a little bigger than, bigger basket itself, shaped down to be more square on the bottom, rounds off as it goes higher""
}"
baskets,35,2,"[6, 9, 1, 7, 8, 10, 4, 3, 2, 5]","{
  ""object_#1"": ""That woman's underwear one again"",
  ""object_#2"": ""rectangle long one, with the handle in the middle"",
  ""object_#3"": ""the one with the green line in the middle"",
  ""object_#4"": ""the basket with a handle, it's woven and it has holes in the middle, you could actually see the white behind it, it gets darker on the bottom, reddish color, woven sort of a basket, no top, big handle clogging the middle, dark in the bottom, top you could actually see through the basket"",
  ""object_#5"": ""the big basket, which is round on top and it squares off on the bottom, flat top, the top is sort of cracked, the lid is a little bit cracked, it doesn't quite fit right"",
  ""object_#6"": ""a woven basket with a red ribbon through it"",
  ""object_#7"": ""a golden basket with a handle and a thing on top, two little handles, the left one has greenish color inside"",
  ""object_#8"": ""the handle, which is like twice the size of the basket itself, kinda reddish and white colored basket, it's got that green around the handle"",
  ""object_#9"": ""the smaller of those two baskets with a lid and the handle, the flat top, it's round, smaller one"",
  ""object_#10"": ""the big cup""
}"
baskets,35,3,"[10, 8, 2, 4, 6, 5, 7, 3, 9, 1]","{
  ""object_#1"": ""the one with the red ribbon through the top of it, Woven, You could see through it"",
  ""object_#2"": ""a big basket, with a flat lid and a round top, Square on the bottom, Rounds off"",
  ""object_#3"": ""the same one but smaller one"",
  ""object_#4"": ""the basket with the lid and the green in the left handle, and the little extra thing on the top"",
  ""object_#5"": ""the women's underwear"",
  ""object_#6"": ""large cup"",
  ""object_#7"": ""the one with that woven, with a handle that you could see on top, and it gets darker on the bottom"",
  ""object_#8"": ""the same type of basket, you can't see through it, and the handle's like three times larger, and it has green around the handle"",
  ""object_#9"": ""the rectangular, long one, with a handle right through the middle"",
  ""object_#10"": ""the one with the green in the middle""
}"
baskets,35,4,"[8, 2, 6, 4, 1, 10, 5, 7, 3, 9]","{
  ""object_#1"": ""big basket, flat lid"",
  ""object_#2"": ""the same basket, it's just smaller"",
  ""object_#3"": ""women's underwear"",
  ""object_#4"": ""basket with a lid, the thing on top of the lid, left handle a little green on the inside"",
  ""object_#5"": ""green line"",
  ""object_#6"": ""woven one, with a red ribbon through it, without the handle"",
  ""object_#7"": ""big cup"",
  ""object_#8"": ""woven one with a handle, which gets darker on the bottom, reddish"",
  ""object_#9"": ""reddish, dark bottom, without the green handle"",
  ""object_#10"": ""long rectangular one with the handle in the middle""
}"
baskets,37,1,"[9, 3, 7, 5, 10, 1, 4, 6, 2, 8]","{
  ""object_#1"": ""long, not circular, handle"",
  ""object_#2"": ""little, big handle, big loop"",
  ""object_#3"": ""probably medium, handle, the wicker's thick on it, light brown, big holes"",
  ""object_#4"": ""round, no lid, no holes in the wicker"",
  ""object_#5"": ""no handle, holes in the wicker, red loop"",
  ""object_#6"": ""weird design in the middle of it, two little handles, no lid"",
  ""object_#7"": ""handles, lid, closed, no holes in the wicker, little handle on the top"",
  ""object_#8"": ""V-shaped, handle"",
  ""object_#9"": ""shorter, lid, handle, short"",
  ""object_#10"": ""bigger, lid, handle, one big loop""
}"
baskets,37,2,"[6, 9, 1, 7, 8, 10, 4, 3, 2, 5]","{
  ""object_#1"": ""V-shaped one"",
  ""object_#2"": ""the long one with a bar handle, with no lid"",
  ""object_#3"": ""it's a circular one with no lid, and it's got a weird design around the top"",
  ""object_#4"": ""Four is the wicker with big holes in them, and the wicker's like real thick braided"",
  ""object_#5"": ""it's got a lid, and it's got a bar handle"",
  ""object_#6"": ""it's a round one with no lid, and it's got a red ribbon going through it"",
  ""object_#7"": ""it's a round one with a lid"",
  ""object_#8"": ""it's a small basket with a big handle"",
  ""object_#9"": ""nine looks just like five, but a smaller version"",
  ""object_#10"": ""the big round one with no lid, no handles""
}"
baskets,37,3,"[10, 8, 2, 4, 6, 5, 7, 3, 9, 1]","{
  ""object_#1"": ""basket with the red loop going through it"",
  ""object_#2"": ""They look the same, but one's bigger, one's smaller"",
  ""object_#3"": ""This one's the bigger one"",
  ""object_#4"": ""the basket with the lid on it, and the little handle on the top"",
  ""object_#5"": ""V-shaped"",
  ""object_#6"": ""the big round one, with no lid"",
  ""object_#7"": ""thick braid wicker, with the holes in it, and a handle"",
  ""object_#8"": ""the little one with the big loop"",
  ""object_#9"": ""the long one with the handle and no lid"",
  ""object_#10"": ""the big one with no lid, and a zigzag design running through it""
}"
baskets,37,4,"[8, 2, 6, 4, 1, 10, 5, 7, 3, 9]","{
  ""object_#1"": ""the first one is the two that look the same, but one's bigger one's smaller"",
  ""object_#2"": ""And the next one's the smaller one"",
  ""object_#3"": ""Three is the V-shaped one"",
  ""object_#4"": ""Four is the round one with the funny thing on the top of the lid"",
  ""object_#5"": ""The fifth one is the round one with the zigzag design going through it"",
  ""object_#6"": ""The sixth one is the one with the red ribbon going through it"",
  ""object_#7"": ""The seven is the big round one with no lid"",
  ""object_#8"": ""Eight is the thick braided one with the holes in it, and the handle"",
  ""object_#9"": ""nine is the little basket with the big loop"",
  ""object_#10"": ""And ten is the long open one with the bar handle""
}"
baskets,43,1,"[9, 3, 7, 5, 10, 1, 4, 6, 2, 8]","{
  ""object_#1"": ""it's wide and long, it has a handle right in the middle"",
  ""object_#2"": ""it's small, and it has a big handle for its size, it's kind of like an orange, but a dark orange with a bit of pink and green"",
  ""object_#3"": ""it's wider, it's a bit wider, it's round, and it also has a handle, but it's a shorter handle, it's not like the second one, it's like a light kinda brownish kinda thing, and the bottom to it, it has dark spots"",
  ""object_#4"": ""it's wide, it has a big opening, and it has no handle"",
  ""object_#5"": ""it's small, it has a pink ribbon going around it, it has openings, it's clear, and you can see right through it"",
  ""object_#6"": ""it's a light orange, yellowish, it has green through it, it has little triangles, like the figures"",
  ""object_#7"": ""it has a cover, it's wide, it's big and it has handles, and the cover has this little head thing"",
  ""object_#8"": ""it's a triangle, it's pointing downward, with a handle"",
  ""object_#9"": ""it's oval-shaped, like a circle, it has a cover, and it has a handle that's like half a triangle, a rectangle"",
  ""object_#10"": ""it looks like number nine, but it's long with a cover, it's taller""
}"
baskets,43,2,"[6, 9, 1, 7, 8, 10, 4, 3, 2, 5]","{
  ""object_#1"": ""it's with the triangle with the point downwards"",
  ""object_#2"": ""It's narrow, it's long, it has a handle"",
  ""object_#3"": ""It's yellowish, orange-yellowish, it has the triangle figures with the green, no cover"",
  ""object_#4"": ""It's oval, you can see through it, it has a handle, and it has the black spots, like on the bottom"",
  ""object_#5"": ""It's long, it has a cover, and it has a handle with the half rectangle figure"",
  ""object_#6"": ""It's the small one with a red ribbon going around it, and it's clear"",
  ""object_#7"": ""It's wide, oval, and has a cover with handles, and the cover has this top figure"",
  ""object_#8"": ""It has a small figure with a big handle for its size, with small red ribbons going around it"",
  ""object_#9"": ""It's small, it has a cover, it's wide, and it has a handle with half rectangle figure"",
  ""object_#10"": ""It's wide, oval, and it's big, no cover""
}"
