object_category,pair_ix,FirstRoundCardIndex,Model_Response,Round1,Round2,Round3,Round4
dogs,35,Card3,"{
    ""Round1"": ""not much hair, grayish color, brown color, tail is sort of laying out behind it, sitting down on its back two legs, two front legs are standing up"",
    ""Round2"": ""dog which--his leash is sort of tied to the ground, tail is laying--laying down on the grass, all brown, facing in front of you, head is tilted to the side"",
    ""Round3"": ""just sitting down on green grass, tail lying down--tail lying out behind it"",
    ""Round4"": ""tail laying on the back, sitting on grass""
}","not much hair, grayish color, brown color, tail is sort of laying out behind it, sitting down on its back two legs, two front legs are standing up","dog which--his leash is sort of tied to the ground, tail is laying--laying down on the grass, all brown, facing in front of you, head is tilted to the side","just sitting down on green grass, tail lying down--tail lying out behind it","tail laying on the back, sitting on grass"
dogs,35,Card4,"{
    ""Round1"": ""smaller dog, short feet, long body, black, curly hair, short legs, long stomach, kind of like a sausage"",
    ""Round2"": ""short legs, long body, larger distance between its front legs and back legs, sort of larger distance between his legs and his head, just like a long, sort of dog"",
    ""Round3"": ""short, black, fuzzy hair, short legs, long body"",
    ""Round4"": ""short legs, long body""
}","smaller dog, short feet, long body, black, curly hair, short legs, long stomach, kind of like a sausage","short legs, long body, larger distance between its front legs and back legs, sort of larger distance between his legs and his head, just like a long, sort of dog","short, black, fuzzy hair, short legs, long body","short legs, long body"
dogs,35,Card5,"```json
{
    ""Round1"": ""Yellow background, leash with a sort of like a coin or something, a round one, black fluffy hair, big ears, sort of like a sheep dog, the most obvious thing is actually the leash, and the round circle metallic dog tag on it"",
    ""Round2"": ""dog with the collar, round metallic dog tag"",
    ""Round3"": ""metallic round circle, dog tag, on the leash"",
    ""Round4"": ""dog tag, a round dog tag, metal round dog tag""
}
```","Yellow background, leash with a sort of like a coin or something, a round one, black fluffy hair, big ears, sort of like a sheep dog, the most obvious thing is actually the leash, and the round circle metallic dog tag on it","dog with the collar, round metallic dog tag","metallic round circle, dog tag, on the leash","dog tag, a round dog tag, metal round dog tag"
dogs,35,Card6,"{
    ""Round1"": ""hound dog, no hair, black dog, very muscular, all black, a little bit of, um, brownish on the mouth and the muzzle"",
    ""Round2"": ""muscular dog with the black--black, uh, hair, standing there, on all four legs, little brown, by its muzzle, it's all black, very short hair, brown on its um front left paw, and his, um, mouth"",
    ""Round3"": ""muscular, black…dog, standing up"",
    ""Round4"": ""muscular, black, standing up straight""
}","hound dog, no hair, black dog, very muscular, all black, a little bit of, um, brownish on the mouth and the muzzle","muscular dog with the black--black, uh, hair, standing there, on all four legs, little brown, by its muzzle, it's all black, very short hair, brown on its um front left paw, and his, um, mouth","muscular, black…dog, standing up","muscular, black, standing up straight"
dogs,35,Card7,"{
    ""Round1"": ""more hair, kind of brown, from the stomach you could see the hair, on the stomach and the legs, it grows longer, His ears kind of like falling down from his head"",
    ""Round2"": ""dog sort of, um...with long hair from the stomach and legs, Ears falling off, sort of grayish--uh golden brown--sorry, color"",
    ""Round3"": ""dog with the ears falling down"",
    ""Round4"": ""Ears falling off""
}","more hair, kind of brown, from the stomach you could see the hair, on the stomach and the legs, it grows longer, His ears kind of like falling down from his head","dog sort of, um...with long hair from the stomach and legs, Ears falling off, sort of grayish--uh golden brown--sorry, color",dog with the ears falling down,Ears falling off
dogs,35,Card8,"{
    ""Round1"": ""brown color, brownish, kinda golden, ears facing up, short tail, standing on its two front legs, two back legs seem to be in like a running position"",
    ""Round2"": ""muscular dog again, gold and muscular dog which was sort of standing on its front two legs, act like in a running position"",
    ""Round3"": ""muscular dog, golden, sort of leaning on the front two legs, running in the back legs"",
    ""Round4"": ""muscular dog leaning on two front legs, gold, brown…hair""
}","brown color, brownish, kinda golden, ears facing up, short tail, standing on its two front legs, two back legs seem to be in like a running position","muscular dog again, gold and muscular dog which was sort of standing on its front two legs, act like in a running position","muscular dog, golden, sort of leaning on the front two legs, running in the back legs","muscular dog leaning on two front legs, gold, brown…hair"
dogs,35,Card9,"{
    ""Round1"": ""white, um uh…white hair in the front, Has its tongue sticking out, Black hair on the back"",
    ""Round2"": ""white fur, Tongue sticking out, black on the back"",
    ""Round3"": ""White hair, tongue sticking out"",
    ""Round4"": ""Husky, Tongue coming out of mouth""
}","white, um uh…white hair in the front, Has its tongue sticking out, Black hair on the back","white fur, Tongue sticking out, black on the back","White hair, tongue sticking out","Husky, Tongue coming out of mouth"
dogs,35,Card10,"{
    ""Round1"": ""black dog, sort of leaning, lying down, tail back up straight in the air"",
    ""Round2"": ""dog with a tail pointed straight up in the air, sort of lying down in grass"",
    ""Round3"": ""dog with a tail pointing out in the air, straight up, lying down in grass"",
    ""Round4"": ""tail sticking up in the air""
}","black dog, sort of leaning, lying down, tail back up straight in the air","dog with a tail pointed straight up in the air, sort of lying down in grass","dog with a tail pointing out in the air, straight up, lying down in grass",tail sticking up in the air
dogs,37,Card1,"{
    ""Round1"": ""brown and black, long tail, facing the left, short nose"",
    ""Round2"": ""short nose, black and brown"",
    ""Round3"": ""a lot of black, in the middle"",
    ""Round4"": ""the first on the first, the second on the second, the black""
}","brown and black, long tail, facing the left, short nose","short nose, black and brown","a lot of black, in the middle","the first on the first, the second on the second, the black"
dogs,37,Card2,"{
    ""Round1"": ""curly hair, brown"",
    ""Round2"": ""brown dog, a lot of yellow on the bottom"",
    ""Round3"": ""a lot of yellow, at the bottom of it"",
    ""Round4"": ""yellow background, curly hair""
}","curly hair, brown","brown dog, a lot of yellow on the bottom","a lot of yellow, at the bottom of it","yellow background, curly hair"
dogs,37,Card3,"{
    ""Round1"": ""brown, and he's got uh...--a collar, and...big ears, And he's squattin' down"",
    ""Round2"": ""long tail, and it's layin' on the ground, It's a brown dog, With a collar, and it looks like he's chained to something, With big ears"",
    ""Round3"": ""dog with the tail laying on the ground, it's a *brown dog*"",
    ""Round4"": ""dog with the tail laying on the ground, He's looking to the side""
}","brown, and he's got uh...--a collar, and...big ears, And he's squattin' down","long tail, and it's layin' on the ground, It's a brown dog, With a collar, and it looks like he's chained to something, With big ears","dog with the tail laying on the ground, it's a *brown dog*","dog with the tail laying on the ground, He's looking to the side"
dogs,37,Card4,"{
    ""Round1"": ""like a long dog, looks like a hotdog, looks like black or brown, with a big nose"",
    ""Round2"": ""black dog, with curly hair, looks like a hotdog"",
    ""Round3"": ""it's the hotdog, looks black, now he looks brown, he's got a long nose and big ears, looks like he doesn't even have legs"",
    ""Round4"": ""the short dog, the hotdog""
}","like a long dog, looks like a hotdog, looks like black or brown, with a big nose","black dog, with curly hair, looks like a hotdog","it's the hotdog, looks black, now he looks brown, he's got a long nose and big ears, looks like he doesn't even have legs","the short dog, the hotdog"
dogs,37,Card5,"{
    ""Round1"": ""curly hair and it's got a collar, with a dog tag on it, It's black"",
    ""Round2"": ""black dog with curly hair, and it's got a--a dog tag with a...--a *circular*…m--metal"",
    ""Round3"": ""black dog with curly hair with the medal--the medal with the...dog tag"",
    ""Round4"": ""a black dog with curly hair, and uh...a round dog tag""
}","curly hair and it's got a collar, with a dog tag on it, It's black","black dog with curly hair, and it's got a--a dog tag with a...--a *circular*…m--metal",black dog with curly hair with the medal--the medal with the...dog tag,"a black dog with curly hair, and uh...a round dog tag"
dogs,37,Card6,"{
    ""Round1"": ""black dog, looks greasy, tall, with brown feet"",
    ""Round2"": ""looks kinda greasy"",
    ""Round3"": ""the black dog, the greasy one"",
    ""Round4"": ""the Doberman pinscher, black…dog with the...looks like there's grease on 'im""
}","black dog, looks greasy, tall, with brown feet",looks kinda greasy,"the black dog, the greasy one","the Doberman pinscher, black…dog with the...looks like there's grease on 'im"
dogs,37,Card7,"{
    ""Round1"": ""long hair on its belly, brown, big ears"",
    ""Round2"": ""long ears, brown dog with long ears, a lot of hair on his belly"",
    ""Round3"": ""hairy belly, long ears, head stickin' up"",
    ""Round4"": ""long ears, hairy belly, brown dog""
}","long hair on its belly, brown, big ears","long ears, brown dog with long ears, a lot of hair on his belly","hairy belly, long ears, head stickin' up","long ears, hairy belly, brown dog"
dogs,37,Card8,"{
    ""Round1"": ""short nose and brown, pointy ears, back legs are lower than its front legs, black collar on it with studs, black nose"",
    ""Round2"": ""black nose, pointy ears, brown dog, lower than the front legs"",
    ""Round3"": ""brown one with the black snout and the ears stickin' up, short tail"",
    ""Round4"": ""brown dog with a short nose, small tail, ears stickin' up""
}","short nose and brown, pointy ears, back legs are lower than its front legs, black collar on it with studs, black nose","black nose, pointy ears, brown dog, lower than the front legs","brown one with the black snout and the ears stickin' up, short tail","brown dog with a short nose, small tail, ears stickin' up"
dogs,37,Card9,"{
    ""Round1"": ""white and black with his tongue sticking out"",
    ""Round2"": ""black and white dog with a tongue sticking out"",
    ""Round3"": ""black and white one with the tongue stickin' out, looks like a wolf"",
    ""Round4"": ""the black and white dog with the tail stickin' out""
}",white and black with his tongue sticking out,black and white dog with a tongue sticking out,"black and white one with the tongue stickin' out, looks like a wolf",the black and white dog with the tail stickin' out
dogs,37,Card10,"{
    ""Round1"": ""like a beard, blackish brown, back tail is stickin' up"",
    ""Round2"": ""like a beard on his chin, with his tail stickin' up and back, his ears are stickin' up, and his tail is stickin' straight up"",
    ""Round3"": ""the tail stickin' up and the beard"",
    ""Round4"": ""hairy chin and the tail stickin' up, a short, hairy dog""
}","like a beard, blackish brown, back tail is stickin' up","like a beard on his chin, with his tail stickin' up and back, his ears are stickin' up, and his tail is stickin' straight up",the tail stickin' up and the beard,"hairy chin and the tail stickin' up, a short, hairy dog"
dogs,43,Card1,"{
    ""Round1"": ""black right in the middle, like oval, two front parts, two front legs are orange, back ones are kinda yellowish, right on the corner of the tail it has black, tip of the tail"",
    ""Round2"": ""black belly, standing tall, looking left, tip of black on the tail, bit of black on the mouth, kinda orangey, first front legs are orange, back one has a yellow on it"",
    ""Round3"": ""standing up, black on the belly, front two legs are orange"",
    ""Round4"": ""black belly, two front feet""
}","black right in the middle, like oval, two front parts, two front legs are orange, back ones are kinda yellowish, right on the corner of the tail it has black, tip of the tail","black belly, standing tall, looking left, tip of black on the tail, bit of black on the mouth, kinda orangey, first front legs are orange, back one has a yellow on it","standing up, black on the belly, front two legs are orange","black belly, two front feet"
dogs,43,Card2,"{
    ""Round1"": ""small ears, the bottom part to where the legs are it's kinda yellowish, legs are a bit yellowish orangey, on the belly it has a bit a black on it, looking left, half the body is black, background is like yellow, it's like standing lookin' at something, one of the legs is like kinda outward, it's orange with a bit of black, it's not orange--it's orange with a bit a like yellow, you can see its lips kinda form, its lips are black, just like his head, his right hind leg is kinda outward to the right"",
    ""Round2"": ""half black background half yellow background on the bottom"",
    ""Round3"": ""background is half black half yellow"",
    ""Round4"": ""background is half black top half yellow on the bottom""
}","small ears, the bottom part to where the legs are it's kinda yellowish, legs are a bit yellowish orangey, on the belly it has a bit a black on it, looking left, half the body is black, background is like yellow, it's like standing lookin' at something, one of the legs is like kinda outward, it's orange with a bit of black, it's not orange--it's orange with a bit a like yellow, you can see its lips kinda form, its lips are black, just like his head, his right hind leg is kinda outward to the right",half black background half yellow background on the bottom,background is half black half yellow,background is half black top half yellow on the bottom
dogs,43,Card3,"{
    ""Round1"": ""greenish, it's sitting down, it has short little legs, small legs with a bit of a long tail, light brown, has a long tail, he's sitting down, the tail is on the floor, he has a collar"",
    ""Round2"": ""it's sitting down, his body is towards the right, but his face is looking left, the background's green, tail is on the floor, it's a long tail, it has a collar"",
    ""Round3"": ""it's a green background, it's sitting down on the grass, long tail on the grass, body towards the right, head facing left"",
    ""Round4"": ""it's sitting down on the grass, long tail, has a collar, looking left, but the body's towards the right""
}","greenish, it's sitting down, it has short little legs, small legs with a bit of a long tail, light brown, has a long tail, he's sitting down, the tail is on the floor, he has a collar","it's sitting down, his body is towards the right, but his face is looking left, the background's green, tail is on the floor, it's a long tail, it has a collar","it's a green background, it's sitting down on the grass, long tail on the grass, body towards the right, head facing left","it's sitting down on the grass, long tail, has a collar, looking left, but the body's towards the right"
dogs,43,Card4,"{
    ""Round1"": ""a small dog, it's black, it's facing right, it has a long uh mouth, it's a short dog"",
    ""Round2"": ""a short dog with a long mouth"",
    ""Round3"": ""a small dog, it's black, it's short and a long mouth"",
    ""Round4"": ""a short dog, kinda longish, with little feet and a big mouth""
}","a small dog, it's black, it's facing right, it has a long uh mouth, it's a short dog",a short dog with a long mouth,"a small dog, it's black, it's short and a long mouth","a short dog, kinda longish, with little feet and a big mouth"
dogs,43,Card5,"{
    ""Round1"": ""a bit taller than the last one, has a collar with a medallion on it, it's black, it has curly hair, facing left, background is yellowish"",
    ""Round2"": ""black, curly hair, has a medallion on the collar"",
    ""Round3"": ""black curly hair, has a collar with a medallion"",
    ""Round4"": ""black short dog, with a collar that has a medallion on it""
}","a bit taller than the last one, has a collar with a medallion on it, it's black, it has curly hair, facing left, background is yellowish","black, curly hair, has a medallion on the collar","black curly hair, has a collar with a medallion","black short dog, with a collar that has a medallion on it"
dogs,43,Card6,"{
    ""Round1"": ""tall dog, black, bit of brown on its mouth, like his feet"",
    ""Round2"": ""standing tall, black, bit of brown on its mouth, tip of its feet"",
    ""Round3"": ""all black, bit of brown on the mouth, tips of the feet"",
    ""Round4"": ""all black, bit of brown on the mouth, tip of the feet""
}","tall dog, black, bit of brown on its mouth, like his feet","standing tall, black, bit of brown on its mouth, tip of its feet","all black, bit of brown on the mouth, tips of the feet","all black, bit of brown on the mouth, tip of the feet"
dogs,43,Card7,"{
    ""Round1"": ""facing left, it's kinda standing up, but it's like also in a way kinda 'bout to sit down kinda thing, brown, darker brown hair in the belly, ears and legs are a bit lighter, long ear, hairy, long hair, brown…color, darker brown, legs are like an orange color, floppy, one of its ear you can't see the other side"",
    ""Round2"": ""long hair, brown, darker brown hair in the middle, facing left, standing, has floppy ears"",
    ""Round3"": ""long hair, facing left, floppy ears, darkish uh brown in the belly, light around the feet"",
    ""Round4"": ""long hair, looking left, floppy ears""
}","facing left, it's kinda standing up, but it's like also in a way kinda 'bout to sit down kinda thing, brown, darker brown hair in the belly, ears and legs are a bit lighter, long ear, hairy, long hair, brown…color, darker brown, legs are like an orange color, floppy, one of its ear you can't see the other side","long hair, brown, darker brown hair in the middle, facing left, standing, has floppy ears","long hair, facing left, floppy ears, darkish uh brown in the belly, light around the feet","long hair, looking left, floppy ears"
dogs,43,Card8,"{
    ""Round1"": ""standing tall, black mouth, black surrounding its eyes, small ears that are sticking up, chain collar, orange kinda brownish, background is kinda yellow"",
    ""Round2"": ""standing tall, black mouth with dark black surrounding around his eyes, small ears sticking up, chain collar, kinda brownish orange, yellow background"",
    ""Round3"": ""standing tall, black mouth with black around surrounding its eyes, ears stickin' up, kinda like a chain collar"",
    ""Round4"": ""standing up tall, black mouth, black surrounding in the eyes, ears stickin' up, chain collar""
}","standing tall, black mouth, black surrounding its eyes, small ears that are sticking up, chain collar, orange kinda brownish, background is kinda yellow","standing tall, black mouth with dark black surrounding around his eyes, small ears sticking up, chain collar, kinda brownish orange, yellow background","standing tall, black mouth with black around surrounding its eyes, ears stickin' up, kinda like a chain collar","standing up tall, black mouth, black surrounding in the eyes, ears stickin' up, chain collar"
dogs,43,Card9,"{
    ""Round1"": ""white dog with black surrounding, has its tongue stickin' out"",
    ""Round2"": ""white, and it has black, has his tongue stickin' out"",
    ""Round3"": ""white dog facing left and it has black, has its tongue stickin' out"",
    ""Round4"": ""white hair with um blackish, a bit of blackish, has its tongue sticking out""
}","white dog with black surrounding, has its tongue stickin' out","white, and it has black, has his tongue stickin' out","white dog facing left and it has black, has its tongue stickin' out","white hair with um blackish, a bit of blackish, has its tongue sticking out"
dogs,43,Card10,"{
    ""Round1"": ""small dog, black, kinda ugly face, has a short tail that's stickin' up, background is green"",
    ""Round2"": ""Toto"",
    ""Round3"": ""Toto again"",
    ""Round4"": ""Toto""
}","small dog, black, kinda ugly face, has a short tail that's stickin' up, background is green",Toto,Toto again,Toto
dogs,45,Card1,"{
    ""Round1"": ""standing on four legs, black, long tail, lightish brown paws, back it's yellow, ears are like black towards the tip"",
    ""Round2"": ""dog with the black stomach and back and legs, goldish legs, tail is long, blackish tip on the tail"",
    ""Round3"": ""dog that's standing up with the long tail, blackish stomach in back"",
    ""Round4"": ""the one that's standing up, yellowish type dog, black stomach and back""
}","standing on four legs, black, long tail, lightish brown paws, back it's yellow, ears are like black towards the tip","dog with the black stomach and back and legs, goldish legs, tail is long, blackish tip on the tail","dog that's standing up with the long tail, blackish stomach in back","the one that's standing up, yellowish type dog, black stomach and back"
dogs,45,Card2,"{
    ""Round1"": ""like those furry dogs, looking towards the back, one of its leg is standing out, it's yellow, and like in the middle it's black"",
    ""Round2"": ""the tiny fur dog, one leg is extended out and it's looking back"",
    ""Round3"": ""the small furry dog, one leg sticking out"",
    ""Round4"": ""the dog with one leg extended out""
}","like those furry dogs, looking towards the back, one of its leg is standing out, it's yellow, and like in the middle it's black","the tiny fur dog, one leg is extended out and it's looking back","the small furry dog, one leg sticking out",the dog with one leg extended out
dogs,45,Card3,"{
    ""Round1"": ""light beige and standing on grass and like it's sitting, and it has a leash, and it's also like looking back, and the tail is sticking out"",
    ""Round2"": ""a dog sitting on the grass and it's looking back and it has a leash"",
    ""Round3"": ""the one that's sitting and like it's looking back on the grass and the tail is on the grass and it's long"",
    ""Round4"": ""the dog with the...it's sitting down, sitting on the grass with his tail on the grass""
}","light beige and standing on grass and like it's sitting, and it has a leash, and it's also like looking back, and the tail is sticking out",a dog sitting on the grass and it's looking back and it has a leash,the one that's sitting and like it's looking back on the grass and the tail is on the grass and it's long,"the dog with the...it's sitting down, sitting on the grass with his tail on the grass"
dogs,45,Card4,"{
    ""Round1"": ""it's brown, dark dark brown, skinny, you can only see three of its legs, really tiny, can't see its tail, dark brown, mouth part, it's like sticking out"",
    ""Round2"": ""the hot dog dog"",
    ""Round3"": ""the hot dog dog"",
    ""Round4"": ""the hotdog""
}","it's brown, dark dark brown, skinny, you can only see three of its legs, really tiny, can't see its tail, dark brown, mouth part, it's like sticking out",the hot dog dog,the hot dog dog,the hotdog
dogs,45,Card5,"{
    ""Round1"": ""a poodle with a leash, a small circle"",
    ""Round2"": ""the poodle with the circle leash"",
    ""Round3"": ""the poodle with the round…leash"",
    ""Round4"": ""the poodle""
}","a poodle with a leash, a small circle",the poodle with the circle leash,the poodle with the round…leash,the poodle
dogs,45,Card6,"{
    ""Round1"": ""it's black, and like in the nose part it's like light goldish…goldish brown, and the paws are like goldish brown, it's standing on grass"",
    ""Round2"": ""it's standing on the grass, like a little bit on the mouth part it's goldish, it's really black"",
    ""Round3"": ""the German shepherd"",
    ""Round4"": ""the German shepherd""
}","it's black, and like in the nose part it's like light goldish…goldish brown, and the paws are like goldish brown, it's standing on grass","it's standing on the grass, like a little bit on the mouth part it's goldish, it's really black",the German shepherd,the German shepherd
dogs,45,Card7,"{
    ""Round1"": ""golden retriever and it's like laying down, laying down on the grass, stomach area on the back is like darker brown and like the legs and the head is like goldish, nose is black"",
    ""Round2"": ""golden retriever that's laying on the ground"",
    ""Round3"": ""golden retriever"",
    ""Round4"": ""golden retriever that's uh laying down, long floppy ears""
}","golden retriever and it's like laying down, laying down on the grass, stomach area on the back is like darker brown and like the legs and the head is like goldish, nose is black",golden retriever that's laying on the ground,golden retriever,"golden retriever that's uh laying down, long floppy ears"
dogs,45,Card8,"{
    ""Round1"": ""goldish and like the mouth and nose part is black and it has a leash--I mean a collar and like um the black legs are like extended out"",
    ""Round2"": ""the dog with the black nose and mouth and the rest of its body is goldish and like the legs are extended out"",
    ""Round3"": ""black on the mouth and like two legs extending out and it's goldish"",
    ""Round4"": ""the dog with the two legs extending out, goldish with the black nose and mouth part""
}",goldish and like the mouth and nose part is black and it has a leash--I mean a collar and like um the black legs are like extended out,the dog with the black nose and mouth and the rest of its body is goldish and like the legs are extended out,black on the mouth and like two legs extending out and it's goldish,"the dog with the two legs extending out, goldish with the black nose and mouth part"
dogs,45,Card9,"{
    ""Round1"": ""a wolf, like a white dog and like blackish on the back"",
    ""Round2"": ""the white dog--the wolf"",
    ""Round3"": ""the white dog--the wolf"",
    ""Round4"": ""the white dog""
}","a wolf, like a white dog and like blackish on the back",the white dog--the wolf,the white dog--the wolf,the white dog
dogs,45,Card10,"{
    ""Round1"": ""the furry dog with the fur like the hair coming down, on the mouth and stuff"",
    ""Round2"": ""the dog that's sitting down and it's really furry and his hair is hanging out and the tail is like sticking up, It's black, sitting on the grass"",
    ""Round3"": ""the fur hanging out of its mouth and sitting on the grass with the tail sticking up"",
    ""Round4"": ""the dog with the hair hanging out of the mouth and the tail sticking up""
}","the furry dog with the fur like the hair coming down, on the mouth and stuff","the dog that's sitting down and it's really furry and his hair is hanging out and the tail is like sticking up, It's black, sitting on the grass",the fur hanging out of its mouth and sitting on the grass with the tail sticking up,the dog with the hair hanging out of the mouth and the tail sticking up
baskets,20,Card1,"{
    ""Round1"": ""very long basket, rectangular in shape, light tan, weaved, the handle coming over the top"",
    ""Round2"": ""rectangular large, very long, the handle in the middle"",
    ""Round3"": ""really long, rectangular one with the handle in the middle"",
    ""Round4"": ""rectangle""
}","very long basket, rectangular in shape, light tan, weaved, the handle coming over the top","rectangular large, very long, the handle in the middle","really long, rectangular one with the handle in the middle",rectangle
baskets,20,Card2,"{
    ""Round1"": ""huge handle, very small basket, red, and uh, brown and green weaving, tiny basket compared to the handle"",
    ""Round2"": ""very large handle"",
    ""Round3"": ""small, with the large handle"",
    ""Round4"": ""small, uh, basket, giant handle""
}","huge handle, very small basket, red, and uh, brown and green weaving, tiny basket compared to the handle",very large handle,"small, with the large handle","small, uh, basket, giant handle"
baskets,20,Card3,"{
    ""Round1"": ""a large basket, another handle, same color, weave is very wide, a lot of spaces in it, black in the bottom, you can see right through it, a large handle, very circular"",
    ""Round2"": ""very round, very open weave, something black in the bottom, shadow of it"",
    ""Round3"": ""rounded one, very open weave, black in the bottom"",
    ""Round4"": ""very open weave, black bottom""
}","a large basket, another handle, same color, weave is very wide, a lot of spaces in it, black in the bottom, you can see right through it, a large handle, very circular","very round, very open weave, something black in the bottom, shadow of it","rounded one, very open weave, black in the bottom","very open weave, black bottom"
baskets,20,Card4,"{
    ""Round1"": ""very tight weave, without a handle, very large bowl, large, tight weave, all uniform tan, some spaces where that look like a darker color, a brown"",
    ""Round2"": ""very large"",
    ""Round3"": ""very large bowl"",
    ""Round4"": ""very large bowl with the tight weave""
}","very tight weave, without a handle, very large bowl, large, tight weave, all uniform tan, some spaces where that look like a darker color, a brown",very large,very large bowl,very large bowl with the tight weave
baskets,20,Card5,"{
    ""Round1"": ""small basket, with a wide weave, got a red…weave through the whole thing"",
    ""Round2"": ""red ribbon"",
    ""Round3"": ""basket with the red ribbon…running through it"",
    ""Round4"": ""red ribbon""
}","small basket, with a wide weave, got a red…weave through the whole thing",red ribbon,basket with the red ribbon…running through it,red ribbon
baskets,20,Card6,"{
    ""Round1"": ""tan bowl that looks very--it looks like solid beading, but it's got some green in it"",
    ""Round2"": ""bowl with the green striping"",
    ""Round3"": ""green background"",
    ""Round4"": ""green background""
}","tan bowl that looks very--it looks like solid beading, but it's got some green in it",bowl with the green striping,green background,green background
baskets,20,Card7,"{
    ""Round1"": ""has a lid on it, two handles on the sides, tan with a little--like a little knob on the lid itself"",
    ""Round2"": ""the one with the top, with the two handles sticking out"",
    ""Round3"": ""the one with two handles"",
    ""Round4"": ""the two handle with the large lid""
}","has a lid on it, two handles on the sides, tan with a little--like a little knob on the lid itself","the one with the top, with the two handles sticking out",the one with two handles,the two handle with the large lid
baskets,20,Card8,"{
    ""Round1"": ""triangular"",
    ""Round2"": ""triangular...shaped basket"",
    ""Round3"": ""triangular *basket*"",
    ""Round4"": ""triangular""
}",triangular,triangular...shaped basket,triangular *basket*,triangular
baskets,20,Card9,"{
    ""Round1"": ""squarish handle, round lid, circular"",
    ""Round2"": ""very small basket, round top, square handle"",
    ""Round3"": ""round one, squared handle"",
    ""Round4"": ""round, round lid, square handle""
}","squarish handle, round lid, circular","very small basket, round top, square handle","round one, squared handle","round, round lid, square handle"
baskets,20,Card10,"{
    ""Round1"": ""rough looking round lid, more squared, almost a little rectangular, tapers towards the bottom"",
    ""Round2"": ""tapered basket that looks almost like a old, rough handbag, thin handle up at the top, very rough looking lid"",
    ""Round3"": ""tapered basket with the rough, uh top on it, rough lid"",
    ""Round4"": ""tapered, uh, with the rough lid""
}","rough looking round lid, more squared, almost a little rectangular, tapers towards the bottom","tapered basket that looks almost like a old, rough handbag, thin handle up at the top, very rough looking lid","tapered basket with the rough, uh top on it, rough lid","tapered, uh, with the rough lid"
baskets,21,Card1,"{
    ""Round1"": ""long basket, looks like a rectangle, longest one in the picture, square in shape, rectangular in shape"",
    ""Round2"": ""long one with the handle"",
    ""Round3"": ""rectangular, and open with one handle on it"",
    ""Round4"": ""really long basket that's open, looks rectangular, with one handle in the middle""
}","long basket, looks like a rectangle, longest one in the picture, square in shape, rectangular in shape",long one with the handle,"rectangular, and open with one handle on it","really long basket that's open, looks rectangular, with one handle in the middle"
baskets,21,Card2,"{
    ""Round1"": ""very big handle on it, very small basket in a pyramidal shape, big, circular looking handle"",
    ""Round2"": ""red lining in it, really big circular handle"",
    ""Round3"": ""really big handle, red stitching along it too"",
    ""Round4"": ""really long hand--uh, big handle on it, round one, with the red, uh..., weaving""
}","very big handle on it, very small basket in a pyramidal shape, big, circular looking handle","red lining in it, really big circular handle","really big handle, red stitching along it too","really long hand--uh, big handle on it, round one, with the red, uh..., weaving"
baskets,21,Card3,"{
    ""Round1"": ""criss-crossing weaves, probably the one with the most open space in between each, circular handle"",
    ""Round2"": ""cross-stitching that's really wide cross-stitched, round handle"",
    ""Round3"": ""stitched with the wide, uh, spaces in between"",
    ""Round4"": ""wide crosses, got a handle, a lot of space between the crosses""
}","criss-crossing weaves, probably the one with the most open space in between each, circular handle","cross-stitching that's really wide cross-stitched, round handle","stitched with the wide, uh, spaces in between","wide crosses, got a handle, a lot of space between the crosses"
baskets,21,Card4,"{
    ""Round1"": ""one of the biggest, uh, baskets in the picture, stitched closely, oval shaped, round shaped, no handles, very circular, very big, like eh deep"",
    ""Round2"": ""round bucket, open basket, very tightly stitched, no cover, no handles"",
    ""Round3"": ""purse looking thing, open one that s--stitched really tightly together, no handles, no cover"",
    ""Round4"": ""really big one, without the top and the close stitching""
}","one of the biggest, uh, baskets in the picture, stitched closely, oval shaped, round shaped, no handles, very circular, very big, like eh deep","round bucket, open basket, very tightly stitched, no cover, no handles","purse looking thing, open one that s--stitched really tightly together, no handles, no cover","really big one, without the top and the close stitching"
baskets,21,Card5,"{
    ""Round1"": ""red ribbon around it"",
    ""Round2"": ""the one with the red ribbon"",
    ""Round3"": ""the one with the red, uh, ribbon, Open basket, no handle"",
    ""Round4"": ""the one with the red ribbon, No top, no handle""
}",red ribbon around it,the one with the red ribbon,"the one with the red, uh, ribbon, Open basket, no handle","the one with the red ribbon, No top, no handle"
baskets,21,Card6,"{
    ""Round1"": ""a green lining in the back"",
    ""Round2"": ""the one with the green lining in the back"",
    ""Round3"": ""the one with the green lining on the back"",
    ""Round4"": ""the one with the green lining""
}",a green lining in the back,the one with the green lining in the back,the one with the green lining on the back,the one with the green lining
baskets,21,Card7,"{
    ""Round1"": ""has a cover on it, with two handles on the side, golden"",
    ""Round2"": ""the one with the handle--uh, two handles on each side, really golden looking"",
    ""Round3"": ""the golden basket with a top on it, two handles on sides"",
    ""Round4"": ""the one with the top and the two handles on the side""
}","has a cover on it, with two handles on the side, golden","the one with the handle--uh, two handles on each side, really golden looking","the golden basket with a top on it, two handles on sides",the one with the top and the two handles on the side
baskets,21,Card8,"{
    ""Round1"": ""heart shape purse looking thing"",
    ""Round2"": ""heart shaped one"",
    ""Round3"": ""heart shaped"",
    ""Round4"": ""heart shape""
}",heart shape purse looking thing,heart shaped one,heart shaped,heart shape
